transaction_id,vendor_id,department,region,procurement_method,contract_amount,invoice_amount,claimed_units,verified_units,number_of_bidders,tender_duration_days,has_checker,has_approver,coi_declared,past_complaints_12m,variation_order_count,variation_order_amount,late_delivery_days,duplicate_invoice_flag,round_amount_flag,split_purchase_flag,invoice_contract_ratio,invoice_contract_variance,claim_variance_units,claim_variance_pct,direct_award_flag,emergency_procurement_flag,single_bidder_flag,short_tender_flag,missing_checker_flag,missing_approver_flag,complaint_flag,vo_amount_ratio,late_delivery_flag,risk_score,risk_level,review_required
TXN-000033,VEND-0084,Facilities,Southern,Open Tender,17048.95,16064.0,176,176,2,60,1,1,0,0,2,1591.35,0,0,0,0,0.9422,-984.95,0,0.0,0,0,0,0,0,0,0,0.0933,0,0,Low,No
TXN-000034,VEND-0036,Finance,Central,Direct Award,25871.6,24163.53,64,64,1,9,1,1,0,0,2,3448.93,9,0,0,0,0.934,-1708.07,0,0.0,1,0,1,0,0,0,0,0.1333,0,20,Low,No
TXN-000035,VEND-0115,Project Management,Northern,Open Tender,59240.85,62000.0,246,150,6,57,1,1,0,0,0,0.0,35,0,1,0,1.0466,2759.15,96,0.64,0,0,0,0,0,0,0,0.0,1,65,High,Yes
TXN-000036,VEND-0081,Corporate Services,Northern,Direct Award,5808.83,4706.84,782,488,2,11,1,1,1,0,1,1905.44,11,0,0,0,0.8103,-1101.99,294,0.6025,1,0,0,0,0,0,0,0.328,0,70,High,Yes
TXN-000037,VEND-0100,Finance,Central,RFQ,10926.71,9679.28,92,92,3,20,1,1,0,0,0,0.0,10,0,0,0,0.8858,-1247.43,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000038,VEND-0107,Finance,Central,Panel Vendor,35469.0,26043.62,224,224,1,6,0,0,0,2,0,0.0,12,1,0,0,0.7343,-9425.38,0,0.0,0,0,1,1,1,1,1,0.0,0,90,Critical,Yes
TXN-000039,VEND-0076,Operations,Sarawak,Open Tender,12405.73,9499.04,200,200,5,50,1,1,0,0,2,547.82,14,0,0,0,0.7657,-2906.69,0,0.0,0,0,0,0,0,0,0,0.0442,0,0,Low,No
TXN-000040,VEND-0073,Project Management,Northern,Open Tender,21724.66,20728.28,132,132,7,2,1,1,0,0,0,0.0,6,0,0,0,0.9541,-996.38,0,0.0,0,0,0,1,0,0,0,0.0,0,10,Low,No
TXN-000041,VEND-0105,Finance,East Coast,RFQ,7483.85,5557.66,284,284,8,20,1,1,0,0,1,956.92,11,1,0,0,0.7426,-1926.19,0,0.0,0,0,0,0,0,0,0,0.1279,0,25,Medium,No
TXN-000042,VEND-0083,Corporate Services,Central,RFQ,32070.77,42000.0,492,460,1,10,1,1,0,5,0,0.0,12,1,1,1,1.3096,9929.23,32,0.0696,0,0,1,0,0,0,1,0.0,0,100,Critical,Yes
TXN-000043,VEND-0034,Project Management,Sarawak,RFQ,56940.69,58000.0,223,223,1,7,1,1,0,0,5,6575.3,11,0,1,1,1.0186,1059.31,0,0.0,0,0,1,0,0,0,0,0.1155,0,65,High,Yes
TXN-000044,VEND-0072,Corporate Services,Southern,Direct Award,24160.3,35000.0,279,265,2,10,1,1,0,1,1,4224.79,67,0,1,0,1.4487,10839.7,14,0.0528,1,0,0,0,0,0,1,0.1749,1,85,Critical,Yes
TXN-000045,VEND-0031,Project Management,Central,RFQ,13860.89,13743.66,456,456,2,8,1,1,0,0,0,0.0,2,1,0,0,0.9915,-117.23,0,0.0,0,0,0,0,0,0,0,0.0,0,25,Medium,No
TXN-000046,VEND-0105,Project Management,East Coast,Panel Vendor,7532.99,7091.87,287,287,2,28,1,1,0,0,0,0.0,24,0,0,0,0.9414,-441.12,0,0.0,0,0,0,0,0,0,0,0.0,1,5,Low,No
TXN-000047,VEND-0014,Procurement,Northern,RFQ,8352.57,8955.51,242,218,1,10,1,1,0,2,0,0.0,5,0,0,0,1.0722,602.94,24,0.1101,0,0,1,0,0,0,1,0.0,0,60,High,Yes
TXN-000048,VEND-0107,IT,Sabah,Emergency Procurement,23740.92,23200.25,134,134,1,2,0,1,0,0,0,0.0,9,0,0,0,0.9772,-540.67,0,0.0,0,1,1,1,1,0,0,0.0,0,45,Medium,No
TXN-000049,VEND-0027,IT,Sabah,RFQ,20632.85,16805.4,356,308,7,11,1,1,0,0,0,0.0,16,0,0,0,0.8145,-3827.45,48,0.1558,0,0,0,0,0,0,0,0.0,1,25,Medium,No
TXN-000050,VEND-0023,Procurement,East Coast,RFQ,24347.04,22138.41,290,290,4,13,1,1,0,0,2,1662.58,8,0,0,0,0.9093,-2208.63,0,0.0,0,0,0,0,0,0,0,0.0683,0,0,Low,No
TXN-000051,VEND-0002,Procurement,Sarawak,Open Tender,87417.51,82000.0,397,329,2,50,1,1,0,0,0,0.0,4,0,1,1,0.938,-5417.51,68,0.2067,0,0,0,0,0,0,0,0.0,0,45,Medium,No
TXN-000052,VEND-0023,Finance,Sarawak,Open Tender,70927.24,62999.37,33,33,6,17,1,1,0,2,0,0.0,10,0,0,0,0.8882,-7927.87,0,0.0,0,0,0,0,0,0,1,0.0,0,10,Low,No
TXN-000053,VEND-0012,Corporate Services,Sabah,Direct Award,11800.17,11000.0,159,109,1,4,1,1,1,0,5,527.33,49,0,1,1,0.9322,-800.17,50,0.4587,1,0,1,1,0,0,0,0.0447,1,100,Critical,Yes
TXN-000054,VEND-0036,Project Management,Central,Open Tender,24006.59,21960.14,462,462,7,51,0,1,0,2,1,1228.51,18,0,0,0,0.9148,-2046.45,0,0.0,0,0,0,0,1,0,1,0.0512,1,30,Medium,No
TXN-000055,VEND-0098,Finance,Northern,Open Tender,32116.33,27520.91,57,57,3,51,1,1,0,0,0,0.0,4,0,0,0,0.8569,-4595.42,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000056,VEND-0013,IT,Sabah,Open Tender,9025.58,9958.13,113,94,4,23,1,1,0,0,0,0.0,2,0,0,0,1.1033,932.55,19,0.2021,0,0,0,0,0,0,0,0.0,0,40,Medium,No
TXN-000057,VEND-0044,Project Management,Northern,Open Tender,35502.0,29945.64,359,295,8,54,1,1,0,0,0,0.0,7,0,0,0,0.8435,-5556.36,64,0.2169,0,0,0,0,0,0,0,0.0,0,20,Low,No
TXN-000058,VEND-0101,Operations,Sabah,Open Tender,5397.78,4932.21,240,240,6,38,1,1,0,0,0,0.0,12,0,0,0,0.9137,-465.57,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000059,VEND-0109,Procurement,Northern,Direct Award,10753.12,15000.0,698,407,3,4,1,0,0,2,0,0.0,17,0,1,0,1.3949,4246.88,291,0.715,1,0,0,1,0,1,1,0.0,1,100,Critical,Yes
TXN-000060,VEND-0047,Operations,Sabah,RFQ,10249.53,9969.15,288,281,3,13,1,1,0,0,1,216.0,48,0,0,0,0.9726,-280.38,7,0.0249,0,0,0,0,0,0,0,0.0211,1,30,Medium,No
TXN-000061,VEND-0112,Finance,Sarawak,Panel Vendor,24695.9,24431.98,331,331,2,27,0,1,0,0,0,0.0,2,0,0,1,0.9893,-263.92,0,0.0,0,0,0,0,1,0,0,0.0,0,35,Medium,No
TXN-000062,VEND-0017,Facilities,Central,RFQ,28175.36,27667.96,481,481,8,15,1,1,0,0,6,3106.38,4,0,0,0,0.982,-507.4,0,0.0,0,0,0,0,0,0,0,0.1103,0,10,Low,No
TXN-000063,VEND-0119,Project Management,Central,RFQ,54946.42,75912.88,56,56,2,10,1,1,0,2,2,2030.84,17,0,0,0,1.3816,20966.46,0,0.0,0,0,0,0,0,0,1,0.037,1,45,Medium,No
TXN-000064,VEND-0017,Corporate Services,Sarawak,Direct Award,7978.43,6300.0,5,5,1,3,1,1,0,0,0,0.0,22,0,1,0,0.7896,-1678.43,0,0.0,1,0,1,1,0,0,0,0.0,1,40,Medium,No
TXN-000065,VEND-0068,Procurement,Southern,Open Tender,33569.57,25790.25,95,95,8,33,1,1,0,0,0,0.0,14,0,0,0,0.7683,-7779.32,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000066,VEND-0053,Procurement,Sarawak,Panel Vendor,252415.46,347026.06,325,325,1,3,1,1,0,0,4,31653.26,8,0,0,0,1.3748,94610.6,0,0.0,0,0,1,1,0,0,0,0.1254,0,60,High,Yes
TXN-000067,VEND-0110,Project Management,Southern,RFQ,16955.67,14670.99,403,403,5,14,1,1,0,0,1,2039.61,2,0,0,0,0.8653,-2284.68,0,0.0,0,0,0,0,0,0,0,0.1203,0,0,Low,No
TXN-000068,VEND-0103,Procurement,Sabah,Open Tender,29564.22,33551.87,168,168,1,3,1,1,0,4,0,0.0,5,0,0,0,1.1349,3987.65,0,0.0,0,0,1,1,0,0,1,0.0,0,60,High,Yes
TXN-000069,VEND-0006,Operations,Central,Open Tender,11128.76,10527.12,351,351,8,55,1,1,0,0,0,0.0,8,0,0,0,0.9459,-601.64,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000070,VEND-0025,Finance,Central,Panel Vendor,3680.61,4174.61,351,351,4,30,1,1,0,0,0,0.0,1,0,0,0,1.1342,494.0,0,0.0,0,0,0,0,0,0,0,0.0,0,20,Low,No
TXN-000071,VEND-0009,Operations,Northern,Panel Vendor,13788.98,13000.0,471,471,2,29,1,1,1,0,0,0.0,19,0,1,0,0.9428,-788.98,0,0.0,0,0,0,0,0,0,0,0.0,1,30,Medium,No
TXN-000072,VEND-0112,Corporate Services,East Coast,RFQ,71759.3,78776.31,10,10,6,10,1,1,0,0,0,0.0,9,0,0,0,1.0978,7017.01,0,0.0,0,0,0,0,0,0,0,0.0,0,20,Low,No
TXN-000073,VEND-0082,Procurement,Central,RFQ,27941.83,26183.32,327,327,8,7,1,1,0,5,0,0.0,23,0,0,0,0.9371,-1758.51,0,0.0,0,0,0,0,0,0,1,0.0,1,25,Medium,No
TXN-000074,VEND-0104,Operations,Central,Open Tender,16908.78,15100.57,258,230,5,3,1,1,0,0,0,0.0,2,0,0,1,0.8931,-1808.21,28,0.1217,0,0,0,1,0,0,0,0.0,0,50,High,Yes
TXN-000075,VEND-0055,Facilities,Central,Direct Award,53667.2,41872.29,376,376,1,9,1,1,0,0,1,7965.47,17,0,0,0,0.7802,-11794.91,0,0.0,1,0,1,0,0,0,0,0.1484,1,25,Medium,No
TXN-000076,VEND-0049,Project Management,Sabah,Open Tender,4391.44,3499.55,279,237,6,27,1,1,0,0,0,0.0,27,0,0,0,0.7969,-891.89,42,0.1772,0,0,0,0,0,0,0,0.0,1,25,Medium,No
TXN-000077,VEND-0016,Project Management,East Coast,RFQ,253175.4,234132.55,455,455,4,8,1,1,0,2,0,0.0,9,0,0,0,0.9248,-19042.85,0,0.0,0,0,0,0,0,0,1,0.0,0,10,Low,No
TXN-000078,VEND-0021,Procurement,Northern,Open Tender,27974.4,24393.81,497,497,3,53,0,1,0,6,0,0.0,0,0,0,0,0.872,-3580.59,0,0.0,0,0,0,0,1,0,1,0.0,0,35,Medium,No
TXN-000079,VEND-0049,Operations,Central,RFQ,15685.19,17069.59,260,260,1,9,1,1,0,0,0,0.0,2,0,0,0,1.0883,1384.4,0,0.0,0,0,1,0,0,0,0,0.0,0,30,Medium,No
TXN-000080,VEND-0111,Project Management,Northern,Emergency Procurement,9463.44,7863.14,335,335,1,1,1,1,0,0,0,0.0,11,0,0,0,0.8309,-1600.3,0,0.0,0,1,1,1,0,0,0,0.0,0,30,Medium,No
TXN-000081,VEND-0016,Procurement,Sarawak,Open Tender,89009.51,78602.55,318,318,4,17,1,1,0,0,1,12443.35,9,0,0,0,0.8831,-10406.96,0,0.0,0,0,0,0,0,0,0,0.1398,0,0,Low,No
TXN-000082,VEND-0031,Operations,Central,RFQ,687803.92,610256.82,35,35,6,11,1,1,0,0,1,37570.55,12,0,0,0,0.8873,-77547.1,0,0.0,0,0,0,0,0,0,0,0.0546,0,0,Low,No
TXN-000083,VEND-0039,Operations,Northern,Open Tender,145447.45,164304.78,316,316,1,19,1,1,0,0,1,4193.59,12,0,0,0,1.1297,18857.33,0,0.0,0,0,1,0,0,0,0,0.0288,0,30,Medium,No
TXN-000084,VEND-0106,Project Management,Sarawak,Panel Vendor,15301.2,16000.0,412,412,8,51,1,1,0,1,6,1898.61,4,0,1,0,1.0457,698.8,0,0.0,0,0,0,0,0,0,1,0.1241,0,45,Medium,No
TXN-000085,VEND-0011,Operations,Sabah,Open Tender,154779.05,182499.32,27,27,2,54,1,1,0,0,0,0.0,26,0,0,0,1.1791,27720.27,0,0.0,0,0,0,0,0,0,0,0.0,1,25,Medium,No
TXN-000086,VEND-0035,Procurement,Northern,RFQ,7076.56,6512.93,67,63,2,15,1,1,1,0,0,0.0,16,0,0,0,0.9204,-563.63,4,0.0635,0,0,0,0,0,0,0,0.0,1,45,Medium,No
TXN-000087,VEND-0106,Corporate Services,Central,RFQ,10806.7,8293.11,251,251,7,16,1,0,0,2,0,0.0,4,1,0,0,0.7674,-2513.59,0,0.0,0,0,0,0,0,1,1,0.0,0,55,High,Yes
TXN-000088,VEND-0010,Procurement,Northern,Direct Award,17798.87,19380.05,106,106,1,12,1,1,0,0,3,2258.48,1,0,0,0,1.0888,1581.18,0,0.0,1,0,1,0,0,0,0,0.1269,0,50,High,Yes
TXN-000089,VEND-0044,Project Management,Sarawak,Direct Award,113445.19,92370.73,78,78,1,12,1,1,0,0,0,0.0,14,0,0,0,0.8142,-21074.46,0,0.0,1,0,1,0,0,0,0,0.0,0,20,Low,No
TXN-000090,VEND-0087,Procurement,Sabah,Open Tender,32119.87,29450.93,242,242,3,43,1,1,0,0,0,0.0,0,0,0,0,0.9169,-2668.94,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000091,VEND-0013,Finance,East Coast,Open Tender,10330.41,10762.59,60,49,4,14,1,0,1,6,0,0.0,9,0,0,1,1.0418,432.18,11,0.2245,0,0,0,0,0,1,1,0.0,0,100,Critical,Yes
TXN-000092,VEND-0087,Corporate Services,Sarawak,RFQ,21877.8,17000.0,179,179,7,9,1,1,0,0,1,3361.0,6,0,1,0,0.777,-4877.8,0,0.0,0,0,0,0,0,0,0,0.1536,0,5,Low,No
TXN-000093,VEND-0036,Project Management,Central,Open Tender,24941.1,27574.09,20,20,2,2,1,1,0,0,5,3392.45,3,0,0,0,1.1056,2632.99,0,0.0,0,0,0,1,0,0,0,0.136,0,40,Medium,No
TXN-000094,VEND-0111,Finance,Sarawak,RFQ,54424.87,66417.6,166,135,1,7,0,0,1,0,0,0.0,5,0,0,1,1.2204,11992.73,31,0.2296,0,0,1,0,1,1,0,0.0,0,100,Critical,Yes
TXN-000095,VEND-0074,Procurement,Southern,RFQ,57378.44,52871.27,65,65,3,18,1,1,0,0,1,2396.79,27,0,0,0,0.9214,-4507.17,0,0.0,0,0,0,0,0,0,0,0.0418,1,5,Low,No
TXN-000096,VEND-0079,Facilities,Sabah,Direct Award,20653.38,15075.09,198,198,1,12,1,1,0,0,5,2891.22,72,0,0,0,0.7299,-5578.29,0,0.0,1,0,1,0,0,0,0,0.14,1,40,Medium,No
TXN-000097,VEND-0009,IT,Northern,RFQ,19951.2,15268.9,135,135,7,8,1,1,0,0,1,3107.97,5,0,0,0,0.7653,-4682.3,0,0.0,0,0,0,0,0,0,0,0.1558,0,0,Low,No
TXN-000098,VEND-0046,Project Management,Northern,RFQ,12484.02,10768.45,233,233,5,20,1,1,0,0,0,0.0,8,0,0,0,0.8626,-1715.57,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000099,VEND-0076,Procurement,Southern,RFQ,11715.1,10532.27,357,357,5,8,1,1,0,0,1,907.24,6,0,0,0,0.899,-1182.83,0,0.0,0,0,0,0,0,0,0,0.0774,0,0,Low,No
TXN-000100,VEND-0091,Project Management,East Coast,Open Tender,88287.16,83000.0,5,5,3,23,0,1,1,0,0,0.0,85,0,1,0,0.9401,-5287.16,0,0.0,0,0,0,0,1,0,0,0.0,1,50,High,Yes
TXN-000101,VEND-0081,Operations,Northern,Direct Award,30524.38,35000.0,326,326,2,8,0,1,0,0,2,3140.31,19,0,1,0,1.1466,4475.62,0,0.0,1,0,0,0,1,0,0,0.1029,1,55,High,Yes
TXN-000102,VEND-0064,Project Management,East Coast,RFQ,27558.81,24600.14,377,377,8,7,1,1,0,0,1,3225.02,2,0,0,0,0.8926,-2958.67,0,0.0,0,0,0,0,0,0,0,0.117,0,0,Low,No
TXN-000103,VEND-0003,Procurement,Northern,Direct Award,20695.79,15441.89,222,222,1,11,1,1,0,0,0,0.0,12,0,0,0,0.7461,-5253.9,0,0.0,1,0,1,0,0,0,0,0.0,0,20,Low,No
TXN-000104,VEND-0051,Operations,Northern,Panel Vendor,25125.84,20742.31,67,67,6,39,1,1,0,0,6,2207.96,4,0,0,0,0.8255,-4383.53,0,0.0,0,0,0,0,0,0,0,0.0879,0,10,Low,No
TXN-000105,VEND-0107,Project Management,Southern,Panel Vendor,6275.72,7929.03,160,160,4,5,1,0,0,2,0,0.0,15,0,0,0,1.2634,1653.31,0,0.0,0,0,0,1,0,1,1,0.0,1,75,Critical,Yes
TXN-000106,VEND-0100,Finance,Central,Direct Award,33620.77,28581.43,457,457,1,14,0,1,0,0,0,0.0,5,0,0,0,0.8501,-5039.34,0,0.0,1,0,1,0,1,0,0,0.0,0,35,Medium,No
TXN-000107,VEND-0118,Procurement,Northern,Direct Award,34530.75,38583.91,259,259,1,2,1,1,0,1,5,2468.42,1,0,0,0,1.1174,4053.16,0,0.0,1,0,1,1,0,0,1,0.0715,0,70,High,Yes
TXN-000108,VEND-0071,Finance,Central,Open Tender,45482.01,62166.43,62,62,6,41,1,1,0,0,1,6665.85,6,0,0,0,1.3668,16684.42,0,0.0,0,0,0,0,0,0,0,0.1466,0,30,Medium,No
TXN-000109,VEND-0107,Corporate Services,Northern,RFQ,20660.84,19061.48,461,461,7,19,1,1,0,0,0,0.0,13,0,0,0,0.9226,-1599.36,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000110,VEND-0076,Corporate Services,Central,Panel Vendor,76920.96,55967.63,316,316,8,23,1,1,0,0,1,10217.1,14,0,0,0,0.7276,-20953.33,0,0.0,0,0,0,0,0,0,0,0.1328,0,0,Low,No
TXN-000111,VEND-0007,Finance,Northern,RFQ,21234.75,30230.62,375,375,5,8,0,0,1,2,0,0.0,14,0,0,0,1.4236,8995.87,0,0.0,0,0,0,0,1,1,1,0.0,0,95,Critical,Yes
TXN-000112,VEND-0043,IT,East Coast,Open Tender,23719.19,17488.45,99,99,2,52,1,1,0,0,1,4069.77,6,0,0,1,0.7373,-6230.74,0,0.0,0,0,0,0,0,0,0,0.1716,0,20,Low,No
TXN-000113,VEND-0104,Procurement,Northern,Direct Award,20158.58,18661.14,18,15,3,8,1,1,0,2,5,3163.47,14,0,0,0,0.9257,-1497.44,3,0.2,1,0,0,0,0,0,1,0.1569,0,50,High,Yes
TXN-000114,VEND-0120,Project Management,Northern,Open Tender,12568.72,11477.54,294,294,3,17,1,1,0,0,0,0.0,3,0,0,0,0.9132,-1091.18,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000115,VEND-0028,Project Management,East Coast,Direct Award,61810.68,60397.75,301,301,1,14,1,0,0,0,3,8256.55,27,0,0,0,0.9771,-1412.93,0,0.0,1,0,1,0,0,1,0,0.1336,1,55,High,Yes
TXN-000116,VEND-0106,Finance,Southern,RFQ,49379.58,44444.7,106,106,5,8,1,1,0,0,0,0.0,0,0,0,0,0.9001,-4934.88,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000117,VEND-0035,Project Management,Sarawak,Open Tender,41561.09,33145.05,37,37,6,23,1,1,0,0,2,3232.94,9,0,0,0,0.7975,-8416.04,0,0.0,0,0,0,0,0,0,0,0.0778,0,0,Low,No
